,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,5.881,1,0,1
1,I,11.724,2,0,2
2,I,17.462,3,0,3
3,I,23.303,4,0,4
4,I,138.746,5,0,5
5,I,144.64,6,0,6
6,I,150.409,7,0,7
7,I,156.259,8,0,8
8,C,529.463,8,1,9
9,C,1114.966,8,2,10
10,C,1738.149,8,3,11
11,C,3261.16,8,4,12
12,I,3884.136,9,4,13
13,I,3888.797,10,4,14
14,I,3893.345,11,4,15
15,I,3897.802,12,4,16
16,I,3902.296,13,4,17
17,I,3906.813,14,4,18
18,I,3911.25,15,4,19
19,I,3966.518,16,4,20
20,C,3974.647,16,5,21
21,I,3979.22,17,5,22
22,I,3983.911,18,5,23
23,I,3988.522,19,5,24
24,I,4015.586,20,5,25
25,I,4020.337,21,5,26
26,I,4024.994,22,5,27
27,I,4029.606,23,5,28
28,I,4061.648,24,5,29
29,I,4066.083,25,5,30
30,I,4070.573,26,5,31
31,I,4075.144,27,5,32
32,I,4125.323,28,5,33
33,I,4129.855,29,5,34
34,I,4134.419,30,5,35
35,I,4139.007,31,5,36
36,I,4143.759,32,5,37
37,I,4203.726,33,5,38
38,I,4208.448,34,5,39
39,I,4213.228,35,5,40
40,I,4217.734,36,5,41
41,C,4276.375,36,6,42
42,I,4285.495,37,6,43
43,I,4290.081,38,6,44
44,I,4294.675,39,6,45
45,I,4299.405,40,6,46
46,C,4316.881,40,7,47
47,C,4324.91,40,8,48
48,C,4330.283,40,9,49
49,C,4338.734,40,10,50
50,I,4502.49,41,10,51
51,I,4507.127,42,10,52
52,I,4511.685,43,10,53
53,I,4516.512,44,10,54
