,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,4.591,1,0,1
1,I,9.065,2,0,2
2,I,13.508,3,0,3
3,I,17.998,4,0,4
4,I,22.43,5,0,5
5,I,26.918,6,0,6
6,I,31.401,7,0,7
7,I,35.951,8,0,8
8,I,44.805,9,0,9
9,I,49.212,10,0,10
10,I,53.636,11,0,11
11,I,58.032,12,0,12
12,I,62.503,13,0,13
13,I,66.972,14,0,14
14,I,71.436,15,0,15
15,I,84.82,16,0,16
16,I,89.281,17,0,17
17,C,102.101,17,1,18
18,I,106.644,18,1,19
19,I,111.073,19,1,20
20,I,115.562,20,1,21
21,I,119.973,21,1,22
22,I,124.432,22,1,23
23,I,128.91,23,1,24
24,I,133.466,24,1,25
25,I,155.749,25,1,26
26,I,160.368,26,1,27
27,C,173.288,26,2,28
28,I,177.719,27,2,29
29,C,190.716,27,3,30
30,C,203.751,27,4,31
31,I,208.164,28,4,32
32,I,212.589,29,4,33
33,I,217.055,30,4,34
34,I,221.537,31,4,35
35,I,226.22,32,4,36
36,I,230.681,33,4,37
37,I,235.168,34,4,38
38,I,239.676,35,4,39
39,C,252.825,35,5,40
40,C,266.137,35,6,41
41,I,270.697,36,6,42
42,I,275.371,37,6,43
43,I,279.927,38,6,44
44,I,284.579,39,6,45
45,I,289.271,40,6,46
46,I,293.971,41,6,47
47,C,316.72,41,7,48
48,C,330.119,41,8,49
49,C,353.19,41,9,50
50,C,366.56,41,10,51
51,I,433.103,42,10,52
52,I,437.524,43,10,53
53,I,441.966,44,10,54
54,I,446.48,45,10,55
55,I,450.964,46,10,56
56,I,455.563,47,10,57
57,I,460.012,48,10,58
58,I,464.509,49,10,59
59,C,477.498,49,11,60
60,C,490.385,49,12,61
61,C,503.711,49,13,62
62,I,508.254,50,13,63
63,C,521.38,50,14,64
64,I,591.138,51,14,65
65,I,618.12,52,14,66
66,I,622.624,53,14,67
67,I,627.063,54,14,68
68,I,631.482,55,14,69
69,C,644.339,55,15,70
70,C,657.386,55,16,71
71,C,670.265,55,17,72
72,C,683.079,55,18,73
73,I,739.335,56,18,74
74,I,757.303,57,18,75
75,I,774.807,58,18,76
76,I,783.927,59,18,77
77,C,796.745,59,19,78
78,I,801.236,60,19,79
79,I,805.68,61,19,80
80,I,810.156,62,19,81
81,I,814.686,63,19,82
82,C,827.9,63,20,83
83,C,840.776,63,21,84
84,I,845.325,64,21,85
85,I,849.76,65,21,86
86,C,862.749,65,22,87
87,C,875.625,65,23,88
88,C,888.527,65,24,89
89,C,901.491,65,25,90
90,I,994.061,66,25,91
91,I,998.447,67,25,92
92,I,1002.922,68,25,93
93,I,1007.393,69,25,94
94,C,1020.291,69,26,95
95,C,1033.3,69,27,96
96,I,1037.79,70,27,97
97,I,1042.261,71,27,98
98,I,1046.747,72,27,99
99,C,1059.708,72,28,100
100,C,1072.495,72,29,101
101,C,1085.299,72,30,102
102,C,1098.115,72,31,103
103,I,1153.905,73,31,104
104,I,1250.174,74,31,105
105,C,1262.902,74,32,106
106,I,1267.384,75,32,107
107,I,1272.043,76,32,108
108,C,1284.826,76,33,109
109,I,1289.311,77,33,110
110,C,1302.296,77,34,111
111,C,1315.358,77,35,112
112,I,1345.513,78,35,113
113,I,1349.968,79,35,114
114,C,1362.943,79,36,115
115,I,1367.506,80,36,116
116,C,1380.371,80,37,117
117,C,1393.446,80,38,118
118,C,1406.461,80,39,119
119,I,1488.881,81,39,120
120,I,1510.652,82,39,121
121,C,1523.697,82,40,122
122,I,1528.161,83,40,123
123,C,1541.073,83,41,124
124,C,1553.955,83,42,125
125,C,1566.838,83,43,126
126,I,1597.305,84,43,127
127,I,1601.803,85,43,128
128,I,1732.666,86,43,129
129,C,1745.531,86,44,130
130,I,1749.988,87,44,131
131,I,1754.5,88,44,132
132,C,1767.315,88,45,133
133,C,1780.075,88,46,134
134,I,1784.527,89,46,135
135,I,1789.024,90,46,136
136,C,1802.058,90,47,137
137,C,1814.915,90,48,138
138,C,1827.71,90,49,139
139,C,1840.46,90,50,140
140,I,1845.003,91,50,141
141,I,1849.426,92,50,142
142,C,1862.556,92,51,143
143,C,1875.549,92,52,144
144,C,1888.771,92,53,145
145,C,1901.791,92,54,146
146,I,1906.262,93,54,147
147,I,1910.7,94,54,148
148,C,1923.687,94,55,149
149,C,1936.727,94,56,150
150,C,1949.605,94,57,151
151,C,1962.71,94,58,152
152,I,1980.182,95,58,153
153,I,2075.035,96,58,154
154,I,2131.323,97,58,155
155,I,2857.535,98,58,156
156,I,2861.988,99,58,157
157,C,2875.204,99,59,158
158,I,2880.011,100,59,159
159,C,2890.368,100,60,160
160,C,2903.455,100,61,161
161,C,2916.564,100,62,162
162,I,3073.687,101,62,163
163,I,3405.49,102,62,164
164,C,3418.896,102,63,165
165,I,3423.409,103,63,166
166,C,3436.631,103,64,167
167,C,3449.689,103,65,168
168,I,3454.385,104,65,169
169,I,3458.897,105,65,170
170,I,3463.497,106,65,171
171,C,3476.943,106,66,172
172,C,3490.409,106,67,173
173,C,3503.685,106,68,174
174,C,3516.864,106,69,175
175,I,3534.264,107,69,176
176,I,3538.684,108,69,177
177,C,3551.56,108,70,178
178,C,3564.573,108,71,179
179,C,3577.619,108,72,180
180,I,3582.125,109,72,181
181,I,3586.615,110,72,182
182,C,3599.573,110,73,183
183,I,3642.671,111,73,184
184,I,4000.345,112,73,185
185,I,4004.859,113,73,186
186,I,4009.4,114,73,187
187,I,4013.92,115,73,188
188,I,4018.39,116,73,189
189,I,4022.85,117,73,190
190,I,4027.281,118,73,191
191,I,4031.751,119,73,192
192,C,4044.642,119,74,193
193,C,4080.33,119,75,194
194,C,4097.662,119,76,195
195,C,4110.501,119,77,196
196,C,4156.494,119,78,197
197,C,4169.3,119,79,198
198,C,4179.43,119,80,199
199,C,4192.289,119,81,200
200,I,4638.551,120,81,201
201,I,4643.029,121,81,202
202,I,4647.513,122,81,203
203,I,4651.932,123,81,204
204,I,4656.392,124,81,205
205,I,4660.918,125,81,206
206,C,4673.758,125,82,207
207,I,4678.238,126,82,208
208,I,4687.201,127,82,209
209,I,4691.699,128,82,210
210,I,4696.183,129,82,211
211,I,4700.701,130,82,212
212,I,4709.651,131,82,213
213,I,4714.191,132,82,214
214,C,4727.237,132,83,215
215,I,4731.716,133,83,216
216,C,4744.598,133,84,217
217,C,4757.563,133,85,218
