,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.011,1,0,1
1,I,0.017,2,0,2
2,I,0.048,3,0,3
3,I,0.059,4,0,4
4,I,0.148,5,0,5
5,C,1.185,5,1,6
6,I,2.275,6,1,7
7,C,3.407,6,2,8
8,C,4.443,6,3,9
9,I,4.534,7,3,10
10,I,4.569,8,3,11
11,I,4.599,9,3,12
12,I,4.611,10,3,13
13,I,4.81,11,3,14
14,C,5.951,11,4,15
15,I,7.097,12,4,16
16,C,8.197,12,5,17
17,C,9.216,12,6,18
18,I,9.225,13,6,19
19,C,11.739,13,7,20
20,C,15.862,13,8,21
21,I,15.98,14,8,22
22,I,16.022,15,8,23
23,C,17.112,15,9,24
24,I,17.186,16,9,25
25,I,17.263,17,9,26
26,I,17.402,18,9,27
27,I,17.406,19,9,28
28,I,17.436,20,9,29
29,I,17.506,21,9,30
30,I,17.518,22,9,31
31,C,18.529,22,10,32
32,I,19.61,23,10,33
33,I,19.632,24,10,34
34,I,19.652,25,10,35
35,I,19.703,26,10,36
36,C,20.716,26,11,37
37,I,20.732,27,11,38
38,C,21.741,27,12,39
39,C,27.131,27,13,40
40,I,28.623,28,13,41
41,C,29.683,28,14,42
42,I,31.004,29,14,43
43,I,31.175,30,14,44
44,I,31.358,31,14,45
45,I,31.395,32,14,46
46,C,32.497,32,15,47
47,I,38.351,33,15,48
48,C,39.654,33,16,49
49,I,40.676,34,16,50
50,I,40.718,35,16,51
51,C,41.936,35,17,52
52,C,47.001,35,18,53
53,C,50.455,35,19,54
54,I,51.472,36,19,55
55,I,56.188,37,19,56
56,I,71.158,38,19,57
57,C,72.193,38,20,58
58,C,73.211,38,21,59
59,I,73.223,39,21,60
60,I,104.338,40,21,61
61,I,114.8,41,21,62
62,C,115.833,41,22,63
63,I,130.394,42,22,64
64,I,130.493,43,22,65
65,I,130.886,44,22,66
66,C,132.171,44,23,67
67,C,135.66,44,24,68
68,I,135.671,45,24,69
69,I,141.803,46,24,70
70,I,141.895,47,24,71
71,C,143.122,47,25,72
