,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.008,1,0,1
1,I,0.027,2,0,2
2,I,0.058,3,0,3
3,I,0.079,4,0,4
4,I,0.12,5,0,5
5,I,0.123,6,0,6
6,I,0.136,7,0,7
7,I,0.366,8,0,8
8,C,6.562,8,1,9
9,I,6.569,9,1,10
10,C,12.615,9,2,11
11,I,12.623,10,2,12
12,I,12.665,11,2,13
13,I,12.823,12,2,14
14,I,12.925,13,2,15
15,I,13.029,14,2,16
16,C,19.23,14,3,17
17,I,19.266,15,3,18
18,C,25.335,15,4,19
19,I,25.346,16,4,20
20,I,25.349,17,4,21
21,I,25.366,18,4,22
22,I,25.378,19,4,23
23,C,31.399,19,5,24
24,I,31.513,20,5,25
25,C,37.522,20,6,26
26,C,43.627,20,7,27
27,I,43.7,21,7,28
28,I,43.972,22,7,29
29,C,50.078,22,8,30
30,I,56.223,23,8,31
31,C,62.375,23,9,32
32,I,62.386,24,9,33
33,C,68.412,24,10,34
34,I,68.438,25,10,35
35,I,68.55,26,10,36
36,C,74.561,26,11,37
37,I,93.066,27,11,38
38,C,99.134,27,12,39
39,I,123.417,28,12,40
40,I,123.522,29,12,41
41,C,129.584,29,13,42
42,I,141.744,30,13,43
43,I,141.782,31,13,44
44,C,147.939,31,14,45
45,I,154.307,32,14,46
46,I,154.314,33,14,47
47,I,154.316,34,14,48
48,C,160.326,34,15,49
49,C,166.331,34,16,50
50,I,166.339,35,16,51
51,I,166.341,36,16,52
52,I,166.357,37,16,53
53,C,172.371,37,17,54
54,I,172.379,38,17,55
55,I,172.519,39,17,56
56,C,178.636,39,18,57
57,I,185.171,40,18,58
58,C,191.223,40,19,59
59,I,210.091,41,19,60
60,C,216.49,41,20,61
61,I,264.871,42,20,62
62,C,270.917,42,21,63
